#                                   Evaluating PDFs at Q =  100.000 GeV
#    x      u-ubar      d-dbar     dbr-ubr    2(ubr+dbr)     s+sbar     c+cbar     b+bbar       gluon  
1.0E-07  1.0347E-04  4.7297E-05  7.9870E-06  1.5849E+02  7.8176E+01  7.6588E+01  6.3912E+01  1.0944E+03
1.0E-06  5.8850E-04  3.2158E-04  3.2458E-05  7.5965E+01  3.7133E+01  3.5975E+01  2.9525E+01  5.0501E+02
1.0E-05  2.9963E-03  1.7380E-03  1.2878E-04  3.5437E+01  1.7044E+01  1.6226E+01  1.3025E+01  2.2176E+02
1.0E-04  1.3998E-02  8.1907E-03  4.8992E-04  1.5711E+01  7.3230E+00  6.7716E+00  5.2689E+00  8.8982E+01
1.0E-03  6.0651E-02  3.4981E-02  1.7651E-03  6.4292E+00  2.8030E+00  2.4569E+00  1.8190E+00  3.0540E+01
1.0E-02  2.3339E-01  1.3065E-01  5.8248E-03  2.2751E+00  8.5784E-01  6.6825E-01  4.5167E-01  7.8209E+00
1.0E-01  5.4900E-01  2.6978E-01  1.0008E-02  3.8426E-01  1.1225E-01  6.4660E-02  3.7275E-02  8.5069E-01
3.0E-01  3.4485E-01  1.2777E-01  2.9492E-03  3.4517E-02  8.8495E-03  4.0582E-03  2.1136E-03  7.8666E-02
5.0E-01  1.1803E-01  3.0628E-02  3.6560E-04  2.3155E-03  5.6501E-04  2.4261E-04  1.2129E-04  7.6245E-03
7.0E-01  1.9344E-02  2.9668E-03  1.2856E-05  5.2252E-05  1.2568E-05  5.7555E-06  2.9330E-06  3.7041E-04
9.0E-01  3.3160E-04  1.6740E-05  8.0999E-09  2.4907E-08  6.4934E-09  4.0235E-09  2.6542E-09  1.1711E-06
