#                                   Evaluating PDFs at Q =  100.000 GeV
#    x      u-ubar      d-dbar     dbr-ubr    2(ubr+dbr)     s+sbar     c+cbar     b+bbar       gluon  
1.0E-07  1.1639E-04  5.5630E-05  8.3396E-06  1.5915E+02  7.8505E+01  7.6906E+01  6.4245E+01  1.0973E+03
1.0E-06  6.0389E-04  3.3257E-04  3.2692E-05  7.6153E+01  3.7227E+01  3.6062E+01  2.9625E+01  5.0544E+02
1.0E-05  3.0183E-03  1.7563E-03  1.2872E-04  3.5490E+01  1.7071E+01  1.6248E+01  1.3056E+01  2.2175E+02
1.0E-04  1.4024E-02  8.2158E-03  4.8979E-04  1.5724E+01  7.3290E+00  6.7755E+00  5.2766E+00  8.8931E+01
1.0E-03  6.0636E-02  3.4976E-02  1.7596E-03  6.4308E+00  2.8038E+00  2.4567E+00  1.8204E+00  3.0517E+01
1.0E-02  2.3325E-01  1.3055E-01  5.8026E-03  2.2752E+00  8.5774E-01  6.6785E-01  4.5172E-01  7.8160E+00
1.0E-01  5.4876E-01  2.6967E-01  9.9483E-03  3.8453E-01  1.1219E-01  6.4546E-02  3.7236E-02  8.5051E-01
3.0E-01  3.4472E-01  1.2772E-01  2.9024E-03  3.4706E-02  8.8422E-03  4.0495E-03  2.1095E-03  7.8671E-02
5.0E-01  1.1798E-01  3.0615E-02  3.4653E-04  2.3789E-03  5.6438E-04  2.4370E-04  1.2144E-04  7.6252E-03
7.0E-01  1.9335E-02  2.9654E-03  9.2473E-06  6.2100E-05  1.2548E-05  5.9902E-06  2.9754E-06  3.7046E-04
9.0E-01  3.3148E-04  1.6782E-05  -6.3382E-08 1.8337E-07  6.2892E-09  8.4763E-09  3.5330E-09  1.1753E-06

