#                                   Evaluating PDFs at Q =  100.000 GeV
#    x      u-ubar      d-dbar     dbr-ubr    2(ubr+dbr)     s+sbar     c+cbar     b+bbar       gluon  
1.0E-07  1.0347E-04  4.7296E-05  7.9869E-06  1.5846E+02  7.8162E+01  7.6575E+01  6.3898E+01  1.0941E+03
1.0E-06  5.8850E-04  3.2158E-04  3.2458E-05  7.5933E+01  3.7117E+01  3.5959E+01  2.9511E+01  5.0475E+02
1.0E-05  2.9963E-03  1.7380E-03  1.2878E-04  3.5427E+01  1.7039E+01  1.6221E+01  1.3021E+01  2.2169E+02
1.0E-04  1.3998E-02  8.1908E-03  4.8992E-04  1.5705E+01  7.3201E+00  6.7688E+00  5.2666E+00  8.8942E+01
1.0E-03  6.0651E-02  3.4981E-02  1.7651E-03  6.4269E+00  2.8020E+00  2.4559E+00  1.8183E+00  3.0527E+01
1.0E-02  2.3339E-01  1.3065E-01  5.8248E-03  2.2744E+00  8.5749E-01  6.6796E-01  4.5145E-01  7.8173E+00
1.0E-01  5.4900E-01  2.6978E-01  1.0007E-02  3.8425E-01  1.1225E-01  6.4658E-02  3.7274E-02  8.5068E-01
3.0E-01  3.4485E-01  1.2776E-01  2.9491E-03  3.4522E-02  8.8517E-03  4.0601E-03  2.1150E-03  7.8667E-02
5.0E-01  1.1803E-01  3.0628E-02  3.6563E-04  2.3176E-03  5.6611E-04  2.4371E-04  1.2203E-04  7.6246E-03
7.0E-01  1.9344E-02  2.9683E-03  1.2839E-05  5.2471E-05  1.2749E-05  5.9801E-06  3.0847E-06  3.7020E-04
9.0E-01  3.2955E-04  1.7232E-05  1.0350E-08  5.5700E-08  1.9893E-08  1.4418E-08  7.7074E-09  1.2669E-06

